"","hhid14","commid14","sc01_14_14","sc02_14_14","sc03_14_14","year","asset","natrep","natdis","assistance","assistance.x","wealth","wealth.0","asset.lag","asset.ihs","asset.ihs.lag","wealth.lag","asset.ihs.delta","natrep.0","natrep.1","natdis.0","natdis.1","assistance.prop.ihs"
"78","0032031","1203",12,77,50,2014,202200000,0,0,0,0,4,4,263567500,19.8179150451106,20.0829672406834,5,-0.265052195572807,1,0,0,0,0
"79","0032400","1203",12,77,50,2007,128997465,1,0,0,0,4,5,471230804,19.36845049153,20.6640057422393,5,-1.29555525070926,1,0,0,0,0
"80","0032400","1203",12,77,50,2014,98960000,0,0,0,0,3,5,128997465,19.1033734666085,19.36845049153,4,-0.265077024921563,1,0,0,0,0
"81","0032431","1203",12,77,50,2007,147823715,0,0,0,0,4,3,37905142,19.5046781874824,18.1437445142331,3,1.36093367324926,0,0,0,0,0
"82","0032431","1203",12,77,50,2014,397420000,0,0,0,0,5,3,147823715,20.4936513945019,19.5046781874824,4,0.988973207019534,0,0,0,0,0
"83","0032432","12A7",12,3,90,2007,201870113.5,0,0,0,0,4,2,27101536,19.8162822266354,17.8082481437705,2,2.00803408286495,0,0,0,0,0
"84","0032432","12A7",12,3,90,2014,414800000,0,0,0,0,5,2,201870113.5,20.5364542148796,19.8162822266354,4,0.720171988244164,0,0,0,0,0
"85","0032500","1203",12,77,50,2007,162937428.5,0,0,0,0,4,5,229665590,19.6020239913993,19.9452820329052,5,-0.343258041505944,0,1,0,0,0
"86","0032500","1203",12,77,50,2014,216785000,1,0,0,0,4,5,162937428.5,19.8875638175042,19.6020239913993,4,0.285539826104937,0,1,0,0,0
"87","0032600","1203",12,77,50,2007,63723091,0,0,0,0,3,5,217566690,18.6632047314919,19.8911631627441,5,-1.22795843125223,0,0,0,0,0
"88","0032600","1203",12,77,50,2014,991600000,0,0,0,0,5,5,63723091,21.4079775386853,18.6632047314919,3,2.74477280719339,0,0,0,0,0
"89","0032800","12A2",12,21,50,2007,48270505,0,0,0,0,2,1,1263979.2,18.3854784501266,14.7429225784174,1,3.64255587170912,0,1,0,0,0
"90","0032800","12A2",12,21,50,2014,163170000,1,0,0,0,3,1,48270505,19.6034503406272,18.3854784501266,2,1.21797189050064,0,1,0,0,0
